;Nazwa;Adres
0;Alchemia;https://euro-sterydy.pl/product-category/alchemia/
1;Balkan Pharmaceuticals;https://euro-sterydy.pl/product-category/balkan-pharmaceuticals/
2;EURO-PHARMACIES;https://euro-sterydy.pl/product-category/euro-pharmacies/
3;Gotowe cykle;https://euro-sterydy.pl/product-category/gotowe-cykle/
4;Platinium Labs;https://euro-sterydy.pl/product-category/platinium-labs/
5;Pozostałe leki;https://euro-sterydy.pl/product-category/pozostale-leki/
6;Sarms;https://euro-sterydy.pl/product-category/sarms/
7;Shree Venkatesh;https://euro-sterydy.pl/product-category/shree-venkatesh/
8;Środki na potencję;https://euro-sterydy.pl/product-category/srodki-na-potencje/
9;Swiss Healthcare Pharma;https://euro-sterydy.pl/product-category/swiss-healthcare-pharma/
10;Zdrowy mózg i wątroba;https://euro-sterydy.pl/product-category/zdrowy-mozg-i-watroba/
